Stock Invested in,count
Federal Bank Ltd.,10
Persistent Systems Ltd.,7
Coforge Ltd.,7
Trent Limited,6
Phoenix Mills Ltd.,5
Indian Hotels Company Limited,5
AIA Engineering Ltd.,5
Thermax Ltd.,4
Coromandel International Ltd.,4
Bharat Forge Ltd.,4
Lupin Ltd.,4
Dixon Technologies (India) Ltd.,3
Navin Flourine International Ltd.,3
Escorts Ltd.,3
TVS Motor Company Ltd.,3
Supreme Industries Ltd.,3
Solar Industries India Ltd.,2
Polycab India Limited,2
Pi Industries Ltd.,2
CG Power and Industrial Solutions Ltd.,2
CRISIL Ltd.,2
Max Financial Services Ltd.,2
Mphasis Ltd.,2
Max Healthcare Institute Ltd.,2
Emami Ltd.,2
K.P.R. Mill Ltd.,2
Jio Financial Services Ltd.,2
Jindal Stainless Ltd.,2
Indian Bank,2
Gujarat Fluorochemicals Ltd.,2
Deepak Nitrite Ltd.,2
Jubilant Foodworks Ltd.,2
